Video Title,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00002,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,standard_2024_09_23-1044_06.00003,,
Initials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards,belmont + edwards
Bus Stop IDs/Addresses,"1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341"
Count of Bus Stop Routes,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Crosswalk Location Relative to Bus Stop,upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,rrfb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
User Type,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian
