Video Title,,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,,standard_2025_07_17-1325_18.00002,standard_2025_07_17-1325_18.00002,
Initials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,belmont st + edward st,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,downstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,signalized intersection,rrfb,rrfb,rrfb,rrfb,rrfb,rrfb,rrfb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,yes,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
User Type,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,,,,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,
Group Size,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,1,3,3,3,1,2,2,1,1,1,,,,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,
Estimated Gender,,female,male,male,male,male,male,male,male,,female,female,male,female,female,,male,female,male,female,female,female,female,female,female,female,,female,female,,male,female,male,female,female,female,male,,male,female,,,,,female,female,female,male,female,male,,,male,
