Video Title,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00005,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00006,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00007,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008,standard_2025_07_16-1038_59.00008
Initials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse,northampton courthouse
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream
Crossing Treatment,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection
Refuge Island,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
User Type,bicyclist,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,,pedestrian,,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,bicyclist,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian
Group Size,1,1,1,3,3,3,1,1,1,1,1,,1,,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estimated Gender,,,,female,female,female,male,male,female,male,female,,,,,,,,,,,,,,,female,female,,,male,male,male,female,female,female,female,male,male,,male,male,female,male,female,male,male,male,female,male,female,female,male,,,,,female,male,female,female,female,,male,female,,,
Estimated Age Group,other,other,other,,,36-50,21-35,21-35,21-35,>50,21-35,,other,,other,other,other,other,other,other,other,other,other,other,other,>50,>50,other,other,36-50,,,21-35,21-35,21-35,21-35,,21-35,21-35,21-35,,21-35,21-35,21-35,,,,21-35,21-35,21-35,21-35,21-35,other,other,other,other,21-35,21-35,21-35,21-35,,,,,other,other,other
Clothing Color,,,,white,,,blue,,white,black,,,,,,,,,,,,,,white,black,white,blue,black,white,white,white,,,black,black,green,,,black,black,black,,red,black,,white,,green,black,white,black,blue,,,,,green,black,,blue,red,,black,black,,,
Visibility Scale,2,2,2,3,3,3,3,2,3,2,3,,2,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,,3,3,2,,3,3,,3,3,,,,,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,,,
Estimated Visible Distrction,,,,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,no,no,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
