Video Title,STANDARD_2024_09_23-1044_06.00005,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00005,,,,,,,,,,,,,
Initials,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,,,,,,,,,,,,,,
Location Name,State St & Orleans St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,"1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341",,,,,,,,,,,,,
Count of Bus Stop Routes,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,,,,,,,,,,,,,
Refuge Island,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1,1,1,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,
