Video Title,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,,,,,,,,,,,
Initials,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,AP,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,,,,,,,,,,,
Location Name,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,,,,,,,,,,,
Bus Stop IDs/Addresses,"1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341",,,,,,,,,,,
Count of Bus Stop Routes,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,
Crossing Treatment,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,
User Count,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,
