Video Title,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,,,,,,,
Initials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,,,,
Refuge Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,
Group Size,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
