Video Title,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,,
Initials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Location Name,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,,
Bus Stop IDs/Addresses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Count of Bus Stop Routes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,
Refuge Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
User Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
User Type,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,0,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,
Group Size,1,1,1,3,3,3,1,1,1,1,1,1,1,0,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Estimated Gender,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Female,Male,Male,Female,Male,Female,hard to tell,Hard to Tell,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Female,Hard to Tell,Female,Male,Male,Male,Hard to Tell,Female,Female,Female,Male,hard to tell,Hard to Tell,Male,Male,Female,Female,Female,Male,Male,Male,Female,Male,Female,Female,Hard to tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Female,Female,Female,Male,Female,Female,Hard to Tell,Hard to tell,Hard to tell,,
Estimated Age Group,Hard to Tell,Hard to Tell,Hard to Tell,hard to tell,>50,36-50,21-35,21-35,Hard to Tell,>50,36-50,Hard to tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,>50,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard  to tell,Hard to Tell,21-35,21-35,Hard to tell,>50,21-35,Hard to Tell,Hard to tell,hard to tell,21-35,21-35,21-35,0,0,0,21-35,hard to tell,hard to tell,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,Hard to tell,Hard to Tell,Hard to tell,Hard to tell,,
Clothing Color,Hard to Tell,Hard to Tell,Hard to Tell,white,black,hard to tell,BLUE,Hard to tell,WHITE,BLACK,Hard to tell,White,Hard to Tell,White,Hard to Tell,Hard to Tell,Hard to Tell,WHITE,BLACK,BLACK,Hard to Tell,Hard to Tell,Hard to Tell,WHITE,BLACK,WHITE,hard to tell,Black,White,WHITE,WHITE,Hard  to tell,WHITE,BLACK,BLACK,GREEN,BLACK,Red,BLACK,BLACK,hard to tell,Hard to tell,RED,BLACK,Hard to tell,WHITE,BLACK,GREEN,BLACK,WHITE,hard to tell,Hard to tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Green,Black,Hard to tell,Blue,RED,Grey,BLACK,Black,Hard to Tell,Hard to tell,Hard to tell,,
Visibility Scale,2,2,2,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,2,2,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,,
Estimated Visible Distrction,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,Hard to Tell,No,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
User Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
