Video Title,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00012,STANDARD_2025_11_13-1902_42.00012,STANDARD_2025_11_13-1902_42.00012,STANDARD_2025_11_13-1902_42.00014,STANDARD_2025_11_13-1902_42.00014,STANDARD_2025_11_13-1902_42.00014,STANDARD_2025_11_13-1902_42.00015,STANDARD_2025_11_13-1902_42.00015,STANDARD_2025_11_13-1902_42.00015,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,,,,
Location Name,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
User Count,1,2,3,4,5,6,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,29,30,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
