Video Title,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00017,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00018,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00019,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00020,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00021,STANDARD_2025_11_13-1902_42.00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,15,16,17,18,19,20,21,22,23,23,24,25,25,26,27,28,29,30,30,31,32,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
