Video Title,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00003,STANDARD_2025_11_10-0600_00.00003,STANDARD_2025_11_10-0600_00.00003,STANDARD_2025_11_10-0600_00.00003,STANDARD_2025_11_10-0600_00.00003,STANDARD_2025_11_10-0600_00.00004,STANDARD_2025_11_10-0600_00.00004,STANDARD_2025_11_10-0600_00.00004,STANDARD_2025_11_10-0600_00.00004,STANDARD_2025_11_10-0600_00.00004,STANDARD_2025_11_10-0600_00.00004,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00005,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00006,STANDARD_2025_11_10-0600_00.00007,STANDARD_2025_11_10-0600_00.00007,STANDARD_2025_11_10-0600_00.00007,STANDARD_2025_11_10-0600_00.00007,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,STANDARD_2025_11_10-0600_00.00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,downstream,downstream,upstream,upstream,,Downstream,Downstream,Downstream,Downstream,Downstream,downstream,downstream,downstream,downstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,,,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
