Video Title,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00004,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,STANDARD_2025_11_19-1127_45.00005,
Initials,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,
Location Name,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,Main St. @ City Hall,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,
