Video Title,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00002,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00002,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00004,STANDARD_2025_07_22-0924_59.00004
Initials,SC,SC,,,,,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL
Location Name,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,33,34,35,36,37,38,39,40,41
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,pedestrian,pedestrian,pedestrian,bicyclist,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
