Video Title,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,,,,,,,,,,,
Initials,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH
Location Name,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,1,2,3,4,5,5,6,7,7,7,8,9,10,11,12,13,14,15,15,15,16,17,18,19,19,20,21,21,21,21,,,,,,,,,,,
User Type,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,
