Video Title,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00002
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Location Name,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
