Video Title,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,STANDARD_2024_09_23-1044_06.00003,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,Belmont + edwards,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,"1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341",,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,RRFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
Group Size,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Female,Male,Male,Female,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Female,Male,Female,Hard to Tell,Female,Female,Female,Male,Male,Male,Female,Hard to Tell,Male,Female,Hard to Tell,Female,Female,Female,Male,Female,Male,Hard to Tell,Male,Male,Male,Male,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,36-50,36-50,21-35,21-35,21-35,21-35,21-35,36-50,Hard to Tell,21-35,21-35,21-35,21-35,21-35,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,21-35,36-50,36-50,Hard to Tell,36-50,36-50,36-50,36-50,36-50,36-50,>50,Hard to Tell,21-35,36-50,Hard to Tell,36-50,>50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Hard to Tell,Gray,Red,Black,Black,black,White,Red,Black,White,Red,Blue,White,Black,Black,Black,Red,White,Blue,Black,White,Blue,Orange,Red,Black,White,Yellow,Blue,White,Black,Blue,Black,Hard to Tell,Black,Black,White,White,Blue,Black,White,Black,White,White,Black,Black,Black,White,Black,White,Black,White,Black,White,White,Purple,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,3,3,3,2,2,2,3,3,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,Hard to Tell,2,2,3,3,3,2,3,3,3,3,3,2,2,3,2,3,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,,,,,He was waiting at bus stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,,,,,Boarded,,Boarded,Boarded,Boarded,Boarded,,,,,,,,,,,,,,,,,,,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Boarded,Boarded,Boarded,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Waited at Bus Stop,Boarded,Boarded,Boarded,Boarded,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,3:10:50 PM,,3:10:50 PM,3:10:50 PM,3:10:50 PM,3:10:50 PM,,,,,,,,,,,,,,,,,,,3:45:38 PM,3:45:38 PM,3:45:38 PM,3:45:38 PM,3:45:38 PM,3:45:38 PM,4:16:04 PM,4:16:04 PM,4:36:53 PM,,, ,,5:39:42 PM,5:39:42 PM,6:08:58PM,6:08:58PM,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,3:11:19 PM,,3:11:19 PM,3:11:19 PM,3:11:19 PM,3:11:19 PM,,,,,,,,,,,,,,,,,,,3:46:03 PM,3:46:03 PM,3:46:03 PM,3:46:03 PM,3:46:03 PM,3:46:03 PM,4:16:26 PM,4:16:26 PM,4:37:06 PM,,,,,5:39:52 PM,5:39:52 PM,6:09:23 PM,6:09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,This is the same person from column I,,,,,,,,,,,,,,,,,,Ped had to stop in the middle of the road because a vehicle didn’t yield,,This person crosses diagonally outside the crosswalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,,,,Yes,,,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing?,No,Yes,Yes,No,N/A,N/A,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intend to Cross Timestamp,3:00:42 PM,3:02:22 PM,3:03:11 PM,3:03:57 PM,3:06:05 PM,3:06:05 PM,3:07:08 PM,3:07:48 PM,3:08:05 PM,3:08:50 PM,3:09:35 PM,3:09:35 PM,3:09:42 PM,3:09:42 PM,3:09:48 PM,3:09:50 PM,3:10:45 PM,,,,3:11:24 PM,3:11:24 PM,3:11:24 PM,3:11:24 PM,3:11:24 PM,3:11:31 PM,3:11:37 PM,3:11:37 PM,3:11:37 PM,3:11:39 PM,3:12:12 PM,3:12:12 PM,3:13:01 PM,3:13:37 PM,3:14:20 PM,3:15:28 PM,3:15:32 PM,3:17:12 PM,3:43:50 PM,,,,,,,,,4:41:56 PM,,,5:01:56 PM,5:29:27 PM,5:38:09 PM,6:05:04 PM,6:05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,
