Video Title,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00002,STANDARD_2025_07_17-1325_18.00003,STANDARD_2025_07_17-1325_18.00003,STANDARD_2025_07_17-1325_18.00003,STANDARD_2025_07_17-1325_18.00003,STANDARD_2025_07_17-1325_18.00003,STANDARD_2025_07_17-1325_18.00003,STANDARD_2025_07_17-1325_18.00004,STANDARD_2025_07_17-1325_18.00004,STANDARD_2025_07_17-1325_18.00004,,,,,,,,,,,,
Initials,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,,,,,,,,,,,,
Location Name,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,Belmont St + Edward St,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,,
Crossing Treatment,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,
User Count,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,
Group Size,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,6,6,6,6,6,1,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Estimated Gender,Male,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Male,Male,Male,Male,Male,Female,Male,Female,Female,Female,Female,Female,Female,Female,,,,,Male,Male,Female,Female,Female,Female,Male,Male,Male,Female,Female,Female,Female,Male,Hard to Tell,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Female,Male,Male,,,,,,,,,,,,
