Video Title,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.00009,STANDARD_2025_11_10-0600_00.000010,STANDARD_2025_11_10-0600_00.000010,STANDARD_2025_11_10-0600_00.000010,STANDARD_2025_11_10-0600_00.000010,STANDARD_2025_11_10-0600_00.000010,,,STANDARD_2025_11_10-0600_00.00003 ,STANDARD_2025_11_10-0600_00.00003 ,STANDARD_2025_11_10-0600_00.00003 ,STANDARD_2025_11_10-0600_00.00004 - View-only,STANDARD_2025_11_10-0600_00.00004 - View-only,STANDARD_2025_11_10-0600_00.00004 - View-only,STANDARD_2025_11_10-0600_00.00004 - View-only,STANDARD_2025_11_10-0600_00.00004 - View-only,STANDARD_2025_11_10-0600_00.00004 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00005 - View-only,STANDARD_2025_11_10-0600_00.00006 - View-only,STANDARD_2025_11_10-0600_00.00006 - View-only,STANDARD_2025_11_10-0600_00.00006 - View-only,STANDARD_2025_11_10-0600_00.00006 - View-only,STANDARD_2025_11_10-0600_00.00006 - View-only,STANDARD_2025_11_10-0600_00.00006 - View-only,STANDARD_2025_11_10-0600_00.00007 - View-only,STANDARD_2025_11_10-0600_00.00007 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only,STANDARD_2025_11_10-0600_00.00008 - View-only
Initials,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,,,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK
Location Name,Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),,,Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD),Boston-Coleman  (SPRINGFIELD)
Bus Stop IDs/Addresses,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,,,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
