Video Title,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00002,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00004,STANDARD_2025_07_22-1526_57.00005,STANDARD_2025_07_22-1526_57.00006,STANDARD_2025_07_22-1526_57.00007,STANDARD_2025_07_22-1526_57.00008,STANDARD_2025_07_22-1526_57.00009,STANDARD_2025_07_22-1526_57.00010,STANDARD_2025_07_22-1526_57.00011,STANDARD_2025_07_22-1526_57.00012,STANDARD_2025_07_22-1526_57.00013,STANDARD_2025_07_22-1526_57.00014,STANDARD_2025_07_22-1526_57.00015,STANDARD_2025_07_22-1526_57.00016,STANDARD_2025_07_22-1526_57.00017,STANDARD_2025_07_22-1526_57.00018,STANDARD_2025_07_22-1526_57.00019,STANDARD_2025_07_22-1526_57.00020,STANDARD_2025_07_22-1526_57.00021,STANDARD_2025_07_22-1526_57.00022,STANDARD_2025_07_22-1526_57.00023,STANDARD_2025_07_22-1526_57.00024,STANDARD_2025_07_22-1526_57.00025,STANDARD_2025_07_22-1526_57.00026,STANDARD_2025_07_22-1526_57.00027,STANDARD_2025_07_22-1526_57.00028,STANDARD_2025_07_22-1526_57.00029,STANDARD_2025_07_22-1526_57.00030,STANDARD_2025_07_22-1526_57.00031,STANDARD_2025_07_22-1526_57.00032,STANDARD_2025_07_22-1526_57.00033,STANDARD_2025_07_22-1526_57.00034,STANDARD_2025_07_22-1526_57.00035,STANDARD_2025_07_22-1526_57.00036,STANDARD_2025_07_22-1526_57.00037,STANDARD_2025_07_22-1526_57.00038,STANDARD_2025_07_22-1526_57.00039,STANDARD_2025_07_22-1526_57.00039,STANDARD_2025_07_22-1526_57.00039,STANDARD_2025_07_22-1526_57.00041,STANDARD_2025_07_22-1526_57.00042,STANDARD_2025_07_22-1526_57.00043,STANDARD_2025_07_22-1526_57.00044,STANDARD_2025_07_22-1526_57.00045,STANDARD_2025_07_22-1526_57.00046,STANDARD_2025_07_22-1526_57.00047,STANDARD_2025_07_22-1526_57.00048,STANDARD_2025_07_22-1526_57.00049,STANDARD_2025_07_22-1526_57.00049,,
Initials,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,,
Location Name,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,Centre Street & Beacon,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,
Refuge Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,
Group Size,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,
Estimated Gender,Female,Male,Female,Female,Male,Female,Female,Female,Female,Male,Male,Female,Male,Female,Male,Female,Male,Male,Female,Female,Hard to Tell,Female,Female,Female,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Male,Male,Male,Female,Female,Male,Male,Male,Female,Male,Male,Male,Female,Hard to Tell,Male,Male,Female,Male,,
Estimated Age Group,21-35,0-20,21-35,21-35,21-35,21-35,21-35,21-35,36-50,21-35,>50,>50,21-35,>50,>50,21-35,21-35,0-20,21-35,21-35,0-20,21-35,21-35,21-35,21-35,21-35,36-50,0-20,0-20,>50,>50,36-50,21-35,>50,>50,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,21-35,21-35,Hard to Tell,21-35,21-35,21-35,0-20,21-35,21-35,21-35,21-35,,
Clothing Color,Black,White,Black,Blue,Navy,Black,Blue,Black,White,Salmon,Orange,White,Pink,Blue,Grey,Red,Grey,Multi-color,White,Grey,-,Grey,Brown,White,Blue,Red,Black,Purple,White,Red,Green,Black,Black,Black,Gray,Black,Black,White,Purple,Black,Black,White,Blue,Grey,White,Black,Green,N/A,Black,Black,White,Black,,
Visibility Scale,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,2,3,3,3,3,3,1,1,3,3,2,1,1,1,1,1,1,2,2,2,1,2,1,1,3,2,2,2,2,3,3,,
Estimated Visible Distrction,No,Yes,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Hard to Tell,Yes,Yes,No,No,,
User Notes,,"Looking at phone before crossing, not during crossing",,,,Accidentally attempted to cross early,,,,,,,,,,,,,,,Kid in a stroller,,,,,,,,,,,,,,,,," ",,,,,,,,,,Child in a stroller,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,,
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Boarded,Alighted,Alighted,Alighted,Alighted,Boarded,Boarded,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:40:02 PM,3:40:08 PM,3:42:08 PM,3:55:54 PM,3:56:53 PM,3:57:26 PM,4:03:23 PM,,4:54:52 PM,4:57:03 PM,5:07:22 PM,5:08:45 PM,5:40:40 PM,5:48:27 PM,6:05:28 PM,6:05:28 PM,6:05:28 PM,6:05:28 PM,6:48:54 PM,6:50:52 PM,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:03:51 PM,4:03:51 PM,4:03:51 PM,4:03:51 PM,4:03:51 PM,4:03:51 PM,4:03:38 PM,5:08:58 PM,5:08:58 PM,5:08:58 PM,5:08:58 PM,5:08:58 PM,6:05:28 PM,6:05:28 PM,6:06:56 PM,6:06:56 PM,6:06:56 PM,6:06:56 PM,7:01:58 PM,7:01:58 PM,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"View was obstructed, could not see the time they arrived","Waited near the bus stop, not at",,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,
Pedestrian Phase Crossing,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,Yes,Yes,,
Intend to Cross Timestamp,3:27:34 PM,3:33:20 PM,3:34:08 PM,3:37:08 PM,N/A,3:38:11 PM,3:38:14 PM,3:38:40 PM,3:39:41 PM,3:39:48 PM,3:39:46 PM,3:39:46 PM,3:41:27 PM,3:41:27 PM,,3:42:35 PM,,3:48:05 PM,3:52:02 PM,3:52:42 PM,3:52:42 PM,3:52:49 PM,3:53:24 PM,3:53:52 PM,3:54:09 PM,3:54:53 PM,3:55:32 PM,3:55:32 PM,3:55:32 PM,3:56:26 PM,3:56:26 PM,3:57:49 PM,,,,,,,4:03:46 PM,4:50:04 PM,,4:55:55 PM,,,,,,,,,6:47:22 PM,6:48:53 PM,,
Crossing Start Time,3:28:24 PM,3:33:58 PM,3:34:08 PM,3:37:28 PM,N/A,3:39:05 PM,3:39:03 PM,3:39:07 PM,3:39:41 PM,3:39:48 PM,3:39:47 PM,3:39:47 PM,3:41:32 PM,3:41:32 PM,,3:42:37 PM,3:47:51 PM,3:49:33 PM,3:52:05 PM,3:53:24 PM,3:53:24 PM,3:53:22 PM,3:53:24 PM,3:55:28 PM,4:55:28 PM,5:55:28 PM,3:55:32 PM,3:55:32 PM,3:55:32 PM,3:56:26 PM,3:56:26 PM,3:58:48 PM,,,,,,,4:03:46 PM,4:50:05 PM,,4:55:59 PM,,,,,,,,,6:47:22 PM,6:48:53 PM,,
Refuge Island Start Time,,,,,,3:39:10 PM,3:39:08 PM,3:39:12 PM,,,3:39:53 PM,3:39:53 PM,,,,,,,3:52:09 PM,3:42:36 PM,3:42:36 PM,,,,,,,,,3:56:30 PM,3:56:30 PM,,,,,,,,,4:50:09 PM,4:53:40 PM,4:56:01 PM,,,,5:46:40 PM,,,,,6:47:27 PM,6:48:56 PM,,
Refuge Island End Time,,,,,,3:39:31 PM,3:39:31 PM,3:39:33 PM,,,3:41:33 PM,3:41:33 PM,,,,,,,3:53:23 PM,3:53:24 PM,3:53:24 PM,,,,,,,,,3:57:15 PM,3:57:15 PM,,,,,,,,,4:50:26 PM,4:54:31 PM,4:56:40 PM,,,,5:47:41 PM,,,,,6:48:27 PM,6:50:15 PM,,
Did User Finish Crossing During Pedestrian Phase,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,No,No,Yes,Yes,Yes,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,Yes,No,,
Crossing End Time,3:28:43 PM,3:34:18 PM,3:34:29 PM,3:37:45 PM,3:37:56 PM,3:39:46 PM,3:39:46 PM,3:39:48 PM,3:40:03 PM,3:40:09 PM,3:42:00 PM,3:42:00 PM,3:41:54 PM,3:41:54 PM,3:41:57 PM,3:42:39 PM,3:48:05 PM,3:49:51 PM,3:53:38 PM,3:53:29 PM,3:53:29 PM,3:53:43 PM,3:53:42 PM,3:55:44 PM,,3:55:39 PM,3:55:46 PM,,,3:57:32 PM,3:57:32 PM,3:59:14 PM,,,,,,,4:04:05 PM,4:50:42 PM,4:54:47 PM,4:56:52 PM,5:07:14 PM,,,5:47:59 PM,,,,,6:48:38 PM,6:50:31 PM,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Run,Walk,Walk,Walk,Other,Walk,Walk,,,,Run,Run,Run,Walk,Walk,Walk,,,,,,,Walk,Walk,Walk,Walk,Run,,,Walk,,,,,Walk,Walk,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
Crossing Location Relative to Bus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Crossing Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,
Noteworthy Events,,,,,,Crossed the smaller portion of the cross walk not during the pedestrian phase,Crossed the smaller portion of the cross walk not during the pedestrian phase,Crossed the smaller portion of the cross walk not during the pedestrian phase,,,"Started crossing during non-ped phase but then waited at the island ","Started crossing during non-ped phase but then waited at the island ",,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,Started crossing off screen,,,,,,,,,,,
Driver Behavior,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
General Reviewer Notes,,,,,"Started crossing off screen, started running towards the end since the pedestrian phase ended",,,,,,,,,,Pedestrian started crossing off screen,"Only crossed the shorter cross walk, wasn't on the bike",,,Pedestrian crossed the first crosswalk during non-ped phase (driver yeilded),,,,,,Finished crossing off screen,,,,,"Crossed the shorter crosswalk during non-ped phase, then waited","Crossed the shorter crosswalk during non-ped phase, then waited",Last non bus user recorded,,,,,,,,"Crossed the shorter crosswalk during non-ped phase, then waited","Crossed the shorter crosswalk off screen during non-ped phase, then waited.","Crossed the shorter crosswalk during non-ped phase, then waited",,,,"Crossed the shorter crosswalk during non-ped phase, then waited. Began to cross off screen ",,,,,"Crossed the shorter crosswalk during non-ped phase, then waited",,,
