Video Title,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00000,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00001,STANDARD_2025_07_22-1526_57.00002,STANDARD_2025_07_22-1526_57.00002,STANDARD_2025_07_22-1526_57.00002,STANDARD_2025_07_22-1526_57.00002,STANDARD_2025_07_22-1526_57.00002,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00003,STANDARD_2025_07_22-1526_57.00003,,,,,,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,
Location Name,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,Centre St @ Beacon,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,,,,
Refuge Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,
