Video Title,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00020.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00021.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00019.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00018.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00017.mp4,STANDARD_2025_11_13-1902_42.00012.mp4,,,,,,,,,,,,,,,,,,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Location Name,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave,Chelmsford St & Glen Ave
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,
Group Size,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
