Video Title,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00001,STANDARD_2025_07_22-0924_59.00002,STANDARD_2025_07_22-0924_59.00002,STANDARD_2025_07_22-0924_59.00002,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.0000,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00003,STANDARD_2025_07_22-0924_59.00004,STANDARD_2025_07_22-0924_59.00004,,,,,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE, NE, NE, NE,NE,NE,,,,,,
Location Name,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,
