Video Title,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000
Initials,SC,SC,,,,,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC
Location Name,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway,Chelsea-City Hall Ave @ Broadway
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,pedestrian,pedestrian,pedestrian,bicyclist,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian,pedestrian
Group Size,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1
Estimated Gender,Male,Female,Male,Female,Male,hard to tell,Female,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,male,male,hard to tell,hard to tell,female,female,female,female,hard to tell,hard to tell,hard to tell,male,male,hard to tell,hard to tell,male,male,hard to tell,hard to tell
Estimated Age Group,hard to tell,21-35,21-35,21-35,hard to tell,hard to tell,36-50,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,21-35,hard to tell,hard to tell,hard to tell,hard to tell,21-35,36-50,36-50,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,hard to tell,21-35,21-35,hard to tell,hard to tell
Clothing Color,black ,black,yellow,pink,black,black,black,black,black,black,black,black,black,white,black,black,red,blue,black,black,black,black,black,black and white,black,black,black,black,black,black,black
Visibility Scale,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1
Estimated Visible Distrction,hard to tell,no,no,no,hard to tell,hard to tell,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
User Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
Roadway Crossing,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Type of Bus Interaction,,,,,,,,,,,,,boarded,,,,alighted,alighted,alighted,alighted,,,,,,,,,boarded,,
Bus Stop Arrival Time,,,,,,,,,,,,,9:41:57 AM,,,,9:47:32 AM,9:47:32 AM,9:47:32 AM,9:47:32 AM,,,,,,,,,9:58:06 AM,,
Bus Stop Departure Time,,,,,,,,,,,,,9:41:02 AM,,,,9:47:54 AM,9:47:54 AM,9:47:54 AM,9:47:54 AM,,,,,,,,,9:58:15 AM,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,no,yes,yes,yes,,yes,yes
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,n/a,,,,,,,,,,,,,,,,,
Intention to Cross Time Stamp,9:25:33 AM,9:25:55 AM,9:27:08 AM,9:28:28 AM,9:29:52 AM,9:33:14 AM,9:33:50 AM,9:34:32 AM,9:36:58,9:36:58,9:36:58,9:38:44 AM,,9:46:47 AM,9:47 AM,9:47 AM,,,,,9:51:33 AM,9:52:33 AM,9:52:33 AM,9:52:59 AM,9:55:32 AM,9:57:11 AM,9:57:11 AM,9:57:19 AM,,9:58:17 AM,9:58:24 AM
Crossing Start Time,9:25:36 AM,9:25:55 AM,9:27:08 AM,9:28:28 AM,9:29:54 AM,9:33:14 AM,9:33:50 AM,9:34:44 AM,9:37:03 AM,9:37:03 AM,9:37:03 AM,9:38:44 AM,,9:46:47 AM,94:47:01 AM,94:47:01 AM,,,,,9:51:33 AM,9:52:33 AM,9:52:33 AM,9:52:59 AM,9:55:32 AM,9:57:11 AM,9:57:11 AM,9:57:19 AM,,9:58:17 AM,9:58:24 AM
Refuge Island Start Time,,N/A,9:27:08 AM,N/A,,,9:33:55 AM,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,N/A,9:27:10 AM,N/A,,,9:34,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,9:25:48 AM,9:26:04 AM,9:27:13 AM,9:28:36 AM,9:30:05 AM,9:33:26 AM,9:34:36 AM,9:34:55 AM,9:37:13 AM,9:37:13 AM,9:37:13 AM,9:38:48 AM,,9:46:55 AM,9:47:11 AM,9:47:11 AM,,,,,9:51:42 AM,9:52:38 AM,9:52:38 AM,9:53:09 AM,9:55:46 AM,9:55:19 AM,9:55:19 AM,9:57:29 AM,,9:58:31 AM,9:58:36 AM
Crossing Interaction Notes,no pedestrian crosswalk traffic sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Presence,no ,no,no,no,no,no,no,no,no,no,no,no,,no,,,,,,,no,no,no,no,no,no,no,no,,no,no
Crossing Location Relative to Bus,n/a,n/a,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,downstream,downstream
Crossing Location Relative to Bus Stop,downstream,upstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,downstream,,downstream,downstream,,,,,,downstream,downstream,downstream,downstream,upstream,downstream,downstream,upstream,,,
Noteworthy Events,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver Behavior,medium,medium,medium,medium,medium,medium,light,light,light,light,light,light,,light,light,,,,,,medium,medium,medium,medium,,light,light,light,,light,light
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
