Video Title,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000,STANDARD_2025_07_22-0924_59.00000
Initials,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS
Location Name,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway,Chelsea - City Hall Ave @ Broadway
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
Crossing Treatment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,1,2,3,4,5,6,7,8,9,9,9,10,11,12,13,13,14,15,16,17,18,19,20,21,21,22,23,24,25,26,26,27,28,29,30,31,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,50,51,52,53,54,55,56,57,58,59,60,61
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
