Video Title,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00002,STANDARD_2025_07_16-1206_31.00002,STANDARD_2025_07_16-1206_31.00002,STANDARD_2025_07_16-1206_31.00005,STANDARD_2025_07_16-1206_31.00006,STANDARD_2025_07_16-1206_31.00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Pedestrian,Bicyclist,Bicyclist,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Size,2,2,1,3,3,3,2,2,1,1,3,3,3,2,2,1,2,2,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Female,Female,Hard to Tell,Male,Female,Male,Male,Male,Male,Hard to Tell,Male,Male,Male,Female,Male,Male,Female,Female,Male,Female,Female,Hard to Tell,Hard to Tell,Female,Hard to Tell,Male,Female,Female,Male,Male,Male,Male,Male,Hard to Tell,Female,Male,Female,Female,Female,Male,Female,Hard to Tell,Male,Female,Male,Female,Male,Female,Male,Female,Female,Hard to Tell,Female,Female,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,21-35,36-50,36-50,36-50,0-20,0-20,0-20,21-35,Hard to Tell,0-20,0-20,0-20,21-35,21-35,36-50,21-35,21-35,36-50,Hard to Tell,21-35,0-20,Hard to Tell,36-50,Hard to Tell,21-35,Hard to Tell,21-35,Hard to Tell,Hard to Tell,36-50,21-35,>50,Hard to Tell,21-35,21-35,21-35,Hard to Tell,0-20,36-50,Hard to Tell,0-20,36-50,36-50,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,white,black,white,grey,tan,grey,white,grey,green,white,blue,blue,grey,blue,red,grey,grey,white,black,pink,red,grey,grey,white,grey,grey,pink,black,black,black,grey,blue,white,grey,white,white,blue,tan,pink,grey,blue,white,grey,grey,green,black,black,grey,blue,purple,orange,white,purple,white,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
