Video Title,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00003,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00004,STANDARD_2025_07_16-1206_31.00005,STANDARD_2025_07_16-1206_31.00002,STANDARD_2025_07_16-1206_31.00002,STANDARD_2025_07_16-1206_31.00002,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00001,STANDARD_2025_07_16-1206_31.00006,STANDARD_2025_07_16-1206_31.00006,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000,STANDARD_2025_07_16-1206_31.00000
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Location Name,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2,Dickinson + Sumner 2
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,
