Video Title,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00001,STANDARD_2025_07_21-1418_52.00002,STANDARD_2025_07_21-1418_52.00003,STANDARD_2025_07_21-1418_52.00004,STANDARD_2025_07_21-1418_52.00005,STANDARD_2025_07_21-1418_52.00006,STANDARD_2025_07_21-1418_52.00007,STANDARD_2025_07_21-1418_52.00008,STANDARD_2025_07_21-1418_52.00009,STANDARD_2025_07_21-1418_52.00010,STANDARD_2025_07_21-1418_52.00010,STANDARD_2025_07_21-1418_52.00011,STANDARD_2025_07_21-1418_52.00012,STANDARD_2025_07_21-1418_52.00014,STANDARD_2025_07_21-1418_52.00015,STANDARD_2025_07_21-1418_52.00016,STANDARD_2025_07_21-1418_52.00017,STANDARD_2025_07_21-1418_52.00018,STANDARD_2025_07_21-1418_52.00019,STANDARD_2025_07_21-1418_52.00020,STANDARD_2025_07_21-1418_52.00021,STANDARD_2025_07_21-1418_52.00022,STANDARD_2025_07_21-1418_52.00023,STANDARD_2025_07_21-1418_52.00024,STANDARD_2025_07_21-1418_52.00025,STANDARD_2025_07_21-1418_52.00026,STANDARD_2025_07_21-1418_52.00027,STANDARD_2025_07_21-1418_52.00028,STANDARD_2025_07_21-1418_52.00029,STANDARD_2025_07_21-1418_52.00030,STANDARD_2025_07_21-1418_52.00031,STANDARD_2025_07_21-1418_52.00032
Initials,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS
Location Name,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St,Ashley Blvd + Sawyer St
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,1,2,3,4,5,5,6,7,7,8,9,10,11,12,13,14,15,16,16,17,17,17,18,19,20,21,21,22,23,24,24,24,24
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
Group Size,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,3,3,1,1,1,2,2,1,1,4,4,4,4
Estimated Gender,Male,Hard to Tell,Male,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Male,Male,Male,Female,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Hard to Tell,Male,Female,Female,Female,Female
Estimated Age Group,21-35,Hard to Tell,21-35,21-35,21-35,21-35,>50,Hard to Tell,Hard to Tell,>50,>50,21-35,0-20,21-35,21-35,0-20,21-35,>50,36-50,0-20,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,36-50,21-35,21-35,Hard to Tell,21-35,21-35,21-35,0-20,0-20
Clothing Color,Grey,N/A,White,Black,Black,Blue,Orange,N/A,N/A,N/A,White,White,Black,Black,White,Black,Black,Light Pink,Maroon,,,,Orange,Black,Grey,Black,Grey,White,Light blue,Black,White,Red,Red
Visibility Scale,3,1,2,2,2,2,3,1,1,1,3,1,2,2,1,1,3,3,3,1,1,1,1,1,3,3,3,1,3,3,3,3,3
Estimated Visible Distrction,No,No,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,Yes,No,No,No,No,No,Hard to Tell,Hard to Tell,No,No,No,Hard to Tell,No,No,No,No,No
User Notes,,,,,,,,,,,,,,,,,Phone in hand,Using a walker,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:18:47 PM,6:18:47 PM,6:18:47 PM,6:18:47 PM
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:19:08 PM,6:19:08 PM,6:19:08 PM,6:19:08 PM
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Pedestrian Phase Crossing,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,No,N/A,N/A,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes
Intend to Cross Timestamp,3:00:56 PM,3:05:28 PM,3:06:20 PM,3:10:44 PM,3:13:04 PM,3:13:04 PM,3:18:37 PM,3:24:03 PM,3:24:03 PM,3:24:03 PM,3:27:24 PM,3:27:45 PM,3:28:07 PM,3:28:47 PM,3:31:10 PM,3:32:24 PM,3:32:36 PM,3:33:53 PM,3:33:53 PM,3:34:26 PM,3:34:26 PM,3:34:26 PM,3:37:28 PM,3:41:23 PM,3:45:21 PM,3:56:47 PM,3:56:47 PM,4:07:46 PM,4:13:07 PM,6:19:34 PM,6:19:34 PM,6:19:34 PM,6:19:34 PM
Crossing Start Time,3:00:56 PM,3:05:28 PM,3:06:30 PM,3:10:45 PM,3:13:05 PM,3:13:05 PM,3:18:40 PM,3:24:03 PM,3:24:03 PM,3:24:04 PM,3:27:24 PM,3:27:56 PM,3:28:08 PM,3:28:47 PM,3:31:11 PM,3:32:24 PM,3:32:36 PM,3:33:59 PM,3:33:59 PM,3:34:26 PM,3:34:26 PM,3:34:26 PM,3:37:38 PM,3:41:25 PM,3:45:21 PM,3:56:47 PM,3:56:47 PM,4:07:58 PM,4:13:08 PM,6:19:35 PM,6:19:35 PM,6:19:35 PM,6:19:35 PM
Refuge Island Start Time,,,,,,,,,,,,,3:28:18 PM,,,,,,,,,,3:37:47 PM,,,3:56:52 PM,3:56:52 PM,,,,,,
Refuge Island End Time,,,,,,,,,,,,,3:28:30 PM,,,,,,,,,,3:38:02 PM,,,3:57:34 PM,3:57:34 PM,,,,,,
Did User Finish Crossing During Pedestrian Phase,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,Yes,No,N/A,Yes,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes
Crossing End Time,3:01:04 PM,3:05:40 PM,3:06:34 PM,3:10:49 PM,3:13:13 PM,3:13:13 PM,3:18:50 PM,3:24:10 PM,3:24:10 PM,3:24:14 PM,3:27:33 PM,3:28:03 PM,3:28:41 PM,3:28:53 PM,3:31:19 PM,3:32:31 PM,3:32:46 PM,3:34:20 PM,3:34:20 PM,3:43:36 PM,3:43:36 PM,3:43:36 PM,3:38:05 PM,3:41:32 PM,3:45:28 PM,3:57:48 PM,3:57:48 PM,4:08:04 PM,4:13:16 PM,6:19:44 PM,6:19:44 PM,6:19:44 PM,6:19:44 PM
Crossing Interaction Notes,Walk,Cyclist,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Cyclist,Walk,Walk,Walk,Walk,Walk,Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Front,In Front,In Front,In Front
Crossing Location Relative to Bus Stop,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,At,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream
Bus Noteworthy Events,Pedestrain crosses to get into car ,,,,,,"Oncoming car in the further lane did not stop, pedestrian had to wait in the road for a brief moment",,, ,,,,,,,Car stops for pedestrian as they cross,,,,,,,,,,,,,,,,
Vehicle Traffic,2,1,3,2,1,1,2,3,3,3,1,3,3,3,2,2,2,1,1,3,3,3,2,2,1,3,3,2,1,2,2,2,2
General Reviewer Notes,,,,,,,,,,,"Pedestrian finishes crossing off screen, crossing end time is estimated",,,,,,,"Pedestrians finished crossing off screen, crossing end time estimated","Pedestrians finished crossing off screen, crossing end time estimated",,,,,,,,,,"Pedestrian finishes crossing off screen, crossing end time is estimated",,,,
