Video Title,STANDARD_2025_07_21-1240_56.00000,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00004,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,,
Location Name,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,Falll River - Rodman St Stop and Shop,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,7,8,9,9,10,11,12,13,14,15,15,15,15,15,16,17,18,19,20,21,22,22,23,24,24,25,26,27,28,28,29,30,31,32,32,32,33,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
