Video Title,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00003,STANDARD_2025_07_21-1240_56.00004,STANDARD_2025_07_21-1240_56.00004,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00005,STANDARD_2025_07_21-1240_56.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,Fall River - Rodman St Stop and Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,4,5,6,7,7,8,3,4,5,12,13,14,6,6,6,6,6,16,7,18,19,20,21,8,8,23,9,9,25,26,27,10,29,30,11,12,13,13,13,14,14,15,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Size,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,3,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Male,Male,Male,Female,Male,Male,Female,Female,Male,Male,Female,Male,Female,Female,Female,Female,Female,Female,Male,Male,Female,Male,Male,Male,Female,Male,Female,Male,Male,Female,Female,Male,Male,Male,Male,Male,Female,Hard to Tell,Male,Male,Male,Male,Female,Hard to Tell,Female,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,21-35,>50,0-20,21-35,>50,36-50,36-50,0-20,Hard to Tell,21-35,21-35,>50,Hard to Tell,Hard to Tell,0-20,>50,0-20,36-50,0-20,Hard to Tell,36-50,0-20,21-35,0-20,36-50,21-35,21-35,Hard to Tell,21-35,21-35,36-50,21-35,>50,36-50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,0-20,0-20,0-20,21-35,21-35,Hard to Tell,36-50,>50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing Color,Purple,White,Black,Black,Black,Black,Pink,Black,Black,Gray,Black,Blue,White with high-vis vest,Black,Blue,White,Black,Black,Blue,Purple,White,White,Black/White,White,Red,White,Black,Black,Gray,Pink,Pink,Black,Blue,White,White,Black,Hard to Tell,Hard to Tell,White,White,Black,White,Pink,Black,Black,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Scale,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Visible Distrction,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Notes,,,,On phone,,,,,"Wearing a hat, jaywalks perpendicular to street then crosses on parallel crosswalk, eating from a bowl and not walking in a straight line",Stops to cross just short of crosswalk,,,,"Walking is a little off (not super straight, arms swinging a lot), tries to grab something from backpack/fixing it while crossing, looking around",Waves to MioVision,Looking at camera,Looking at camera,,Pulling a wagon,,,,Headphones in,Electric scooter,Headphones in,,,Holding something & periodically looking at it - maybe phone,,,,On phone ,,Jaywalked downstream of crosswalk then crossed on parallel crosswalk,Pulling something else with one hand,,,,Headphones on,Headphones on,Putting headphones on as exiting bus,,,,,"Dancing, interacting with researchers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Bus Interaction,,,,,,,,,,,Alighted,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Alighted,Boarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Arrival Time,,,,,,,,,,,3:25:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,4:21:54 PM,4:48:02 PM,5:19:29 PM,5:19:29 PM,5:19:29 PM,5:19:29 PM,5:19:29 PM,5:25:39 PM,5:45:04 PM,12:52:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Departure Time,,,,,,,,,,,3:26:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,4:22:04 PM,4:48:16 PM,5:19:41 PM,5:19:41 PM,5:19:41 PM,5:19:41 PM,5:19:41 PM,5:25:49 PM,5:45:34 PM,12:53:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car sped around bus right as bus took off - dangerous because can't see around bus to the upcoming crosswalk,,,"Truck tries to go around bus - dangerous, almost hits pedestrians and bus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
