Video Title,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000
Initials,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS
Location Name,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream
Crossing Treatment,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,Signalized Intersection,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,RRFB,RRFB,Signalized Intersection,RRFB,Signalized Intersection,RRFB,Signalized Intersection,Signalized Intersection,RRFB,Signalized Intersection,RRFB,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,RRFB,Signalized Intersection,RRFB,Signalized Intersection,Signalized Intersection,RRFB,RRFB,Signalized Intersection,RRFB,Signalized Intersection,Signalized Intersection,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,RRFB
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
Group Size,3,3,3,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,3,1,1,1,1,1,1,1,1,1
Estimated Gender,Female,Female,Female,Male,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Female,Female,Female,Hard to Tell,Female,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Female,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Male,Hard to Tell,Male,Male,Male,Male,Hard to Tell,Male,Male,Male,Female,Hard to Tell,Hard to Tell,Male
Estimated Age Group,36-50,36-50,36-50,21-35,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,0-20,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,>50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,Hard to Tell,21-35,21-35,21-35,21-35,>50,Hard to Tell,36-50,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35
Clothing Color,White,Pink,Grey,Black,Black,White,,Black,Black,Black,Grey,White & black,Black,Grey,Black,Black,Black,Black,Grey,White,Red,Black,White,Grey,Red,Black,Black,White,Black,White,Brown,Black,Black,Black,Black,Black,White,Grey,Grey,Black,Blue,White,Black,White,White,Black,Black,White,Black,White
Visibility Scale,3,3,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2,2,1,3,2,1,2,3,2,2,3,1,2,1,1,3,3,1,3,3,3,3,2,2,3,2,1,2,1,3
Estimated Visible Distrction,No,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,Hard to Tell,No,Hard to Tell,Hard to Tell,No,Hard to Tell,Hard to Tell,Hard to Tell,No,No,Hard to Tell,Yes,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,No,No,No,No,No,No,Yes,No,No,No,No,No,Hard to Tell,Hard to Tell,No
User Notes,,,,Jay walking right next to the cross walk,,,,,,,,"User had a phone in their hand, but wasn't looking at it",E-scooter,,,,,,,,,,,,,,,,,,Phone in hand,,,,,,,,,,,Looking at phone,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boarded,,,,
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:55:18 PM,,,,
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:55:26 PM,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing?,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,Yes,No
Pedestrian Phase Crossing?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,No,N/A,Yes,No,N/A,N/A,No,No,N/A,No,No,N/A,Yes,N/A,No,No,N/A,N/A,I don't know,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,No,N/A
Intention to Cross Timestamp,,,,3:15:32 PM,3:16:55 PM,3:17:40 PM,3:18:01 PM,3:18:29 PM,3:19:33 PM,3:19:42 PM,3:20:25 PM,3:21:47 PM,3:25:58 PM,3:27:12 PM,3:27:21 PM,3:27:06 PM,3:28:58 PM,3:29:53 PM,3:30:10 PM,3:30:26 PM,3:31:08 PM,3:32:50 PM,3:34:10 PM,3:35:13 PM,3:36:22 PM,3:37:04 PM,3:38:50 PM,3:40:28 PM,3:41:50 PM,3:42:20 PM,3:43:13 PM,3:44:15 PM,3:44:30 PM,3:45:49 PM,3:47:04 PM,3:47:23 PM,3:47:38 PM,3:48:19 PM,3:49:16 PM,3:49:30 PM,3:49:30 PM,3:49:40 PM,3:49:39 PM,3:49:59 PM,3:52:08 PM,,3:56:02 PM,3:55:55 PM,3:48:09 PM,3:58:42 PM
Crossing Start Time,,,,3:15:32 PM,3:16:55 PM,3:17:40 PM,3:18:13 PM,3:19:13 PM,3:19:36 PM,3:19:45 PM,3:20:35 PM,3:21:55 PM,3:26:04 PM,3:27:25 PM,3:27:28 PM,3:27:22 PM,3:28:58 PM,3:29:53 PM,3:30:11 PM,3:30:34 PM,3:31:11 PM,3:32:50 PM,3:34:12 PM,3:35:22 PM,3:36:23 PM,3:37:05 PM,3:39:01 PM,3:40:28 PM,3:41:51 PM,3:42:21 PM,3:43:13 PM,3:44:15 PM,3:44:30 PM,3:45:55 PM,3:47:04 PM,3:47:38 PM,3:47:38 PM,3:48:19 PM,3:49:30 PM,3:49:30 PM,3:49:30 PM,3:49:42 PM,3:49:40 PM,3:50:01 PM,3:52:08 PM,,3:56:02 PM,3:56:09 PM,3:48:09 PM,3:58:42 PM
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
