Video Title,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,STANDARD_2025_07_15-1513_50.00000,,,,,,,,,,,,,,,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,,,,,,,,,,
Location Name,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,Main & Cabot,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Upstream,,,,,,,,,,,,,,,,
Crossing Treatment,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,Signalized Intersection,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,RRFB,RRFB,Signalized Intersection,RRFB,Signalized Intersection,RRFB,Signalized Intersection,Signalized Intersection,RRFB,RRFB,Signalized Intersection,RRFB,RRFB,Signalized Intersection,RRFB,RRFB,Signalized Intersection,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,Signalized Intersection,RRFB,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,
