Video Title,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,Bridge Street and 2nd Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,Very faded crosswalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,26,27,28,29,30,30,31,32,33,35,35,36,37,38,39,40,41,42,43,44,44,45,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Size,1,1,1,1,1,1,1,1,1,1,1,1,3:29:37 PM,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Gender,Hard to Tell,Female,Male,Male,Male,Male,Male,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Hard to Tell,Male,Female,Female,Hard to Tell,Female,Male,Hard to Tell,Hard to Tell,Male,Female,Female,Hard to Tell,Female,Female,Male,Male,Female,Male,Female,Male,Female,Male,Male,Female,Female,Hard to Tell,Female,Female,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Age Group,Hard to Tell,21-35,21-35,21-35,0-20,0-20,36-50,36-50,36-50,Hard to Tell,Hard to Tell,Hard to Tell,36-50,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,0-20,Hard to Tell,Hard to Tell,21-35,Hard to Tell,>50,>50,21-35,Hard to Tell,21-35,21-35,Hard to Tell,Hard to Tell,21-35,>50,21-35,Hard to Tell,21-35,36-50,21-35,21-35,21-35,>50,>50,>50,21-35,36-50,21-35,21-35,>50,0-20,0-20,21-35,21-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
