Video Title,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,LO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
