Video Title,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00004,STANDARD_2025_07_23-1118_51.00005,STANDARD_2025_07_23-1118_51.00005,STANDARD_2025_07_23-1118_51.00006,STANDARD_2025_07_23-1118_51.00003 ,STANDARD_2025_07_23-1118_51.00002,STANDARD_2025_07_23-1118_51.00002,STANDARD_2025_07_23-1118_51.00002,STANDARD_2025_07_23-1118_51.00002,STANDARD_2025_07_23-1118_51.00001 ,STANDARD_2025_07_23-1118_51.00001 ,STANDARD_2025_07_23-1118_51.00001 ,STANDARD_2025_07_23-1118_51.00000,STANDARD_2025_07_23-1118_51.00000,STANDARD_2025_07_23-1118_51.00000,STANDARD_2025_07_23-1118_51.00000,STANDARD_2025_07_23-1118_51.00000,,,,,,,,,
Initials,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,,,,,,,,,
Location Name,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,Bridge St and 2nd St,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,Faded Crosswalk,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
User Count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,26,27,28,29,30,30,31,32,33,35,35,36,37,38,39,40,41,42,43,44,44,45,46,47,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,
Group Size,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Estimated Gender,Male,Female,Male,Male,Male,Male,Male,Hard to Tell,Female,Hard to Tell,Hard to Tell,Female,Male,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Hard to Tell,Hard to Tell,Male,Male,Male,Female,Female,Female,Male,Male,Male,Male,Female,Male,Female,Female,Hard to Tell,Female,Female,Male,Female,Female,Female,Female,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,36-50,21-35,21-35,>50,36-50,Hard to Tell,Hard to Tell,>50,Hard to Tell,21-35,0-20,21-35,Hard to Tell,Hard to Tell,Hard to Tell,21-35,Hard to Tell,Hard to Tell,21-35,21-35,21-36,36-50,36-50,21-35,Hard to Tell,Hard to Tell,>50,36-50,36-50,21-35,36-50,0-20,Hard to Tell,36-50,36-51,21-35,21-35,21-35,0-20,21-35,21-35,21-35,21-35,36-50,21-35,36-50,>50,36-50,21-35,,,,,,,,,
Clothing Color,white,black,grey,black,black,black,orange,light gray,white,white,white,black,white,white,white,white,white,black,gray,gray,black,white,black,gray,gray,white,white,black,black,white,orange,black,black,white,dark gray,white,white,black,black,black,white,light gray,black,brown,black,black,dark brown,black,blue,brown,black,,,,,,,,,
Visibility Scale,3,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,2,3,3,3,3,2,2,3,3,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,2,2,3,3,2,,,,,,,,,
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,
User Notes,,walking dog,,,,,,,,,,"Mother with son, holding hands",,,,,,,,,gets out of parked car on the steet and then crosses from there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
