Video Title,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00012,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00015,STANDARD_2025_11_13-1833_30.00020
Initials,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH
Location Name,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
Crossing Treatment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,1,2,2,2,2,2,3,3,4,4,5,5,5,6,6,7,7,7,7,7,8,9,10,11,11,12,12,12,12,13,13,14,14,15,15,16,16,17,17,17,18,19,20,20,21,21,22,22,22,23,24,24,24,24,24,25,26,26,26,27,27,28,29,30,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
Group Size,1,5,5,5,5,5,2,2,2,2,3,3,3,2,2,5,5,5,5,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,2,2,2,2,3,3,3,1,5,5,5,5,5,1,3,3,3,2,2,1,2,2,1,1
Estimated Gender,Female,Male,Female,Female,Female,Female,Male,Male,Male,Male,Female,Male,Male,Male,Male,Female,Female,Female,Female,Female,Male,Male,Male,Female,Female,Male,Male,Female,Male,Male,Female,Female,Female,Male,Female,Female,Female,Male,Male,Male,Female,Female,Female,Male,Female,Male,Male,Male,Male,Female,Male,Female,Female,Female,Female,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
Estimated Age Group,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,>50,0-20,21-35,21-35,0-20
Clothing Color,Black/White,Black,Black,White,White,Grey,Grey,Black,Black,Black,White,Black,Black,Black,Black,White,Grey,Black,White,Black,Black,Black,Black,Black,Grey,Green,Black,Black,Red,White,Black,Red,Grey,White,Black,Grey,Pink,Grey,"Black ",Black,Black,Grey,White,Grey,Brown,Red,Grey,Grey,Black,Black,Black,White,Black,White,Black,Grey,Black,"Black ",Red,Black,White,"Green ",Black,Black,Green,Black
Visibility Scale,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Notes,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,Crossing Guard,"Crossing Guard, Scooter",Crossing Guard,Crossing Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Interaction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Roadway Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Type of Bus Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alighted,Boarded,Boarded,Boarded,Alighted
Bus Stop Arrival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:34:52 AM,7:17:30 AM,7:17:30 AM,9:25:00 AM,2:23:23 PM
Bus Stop Departure Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:35:04 AM,7:17:37 AM,7:17:37 AM,9:25:07 AM,2:23:34 PM
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,
Pedestrian Phase Crossing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
Intention to Cross Time Stamp,3:00:03 PM,3:01:11PM,3:01:11PM,3:01:11PM,3:01:11PM,3:01:11PM,3:01:38 PM,3:01:38 PM,3:01:41 PM,3:01:41 PM,3:01:44 PM,3:01:44 PM,3:01:44 PM,3:01:59 PM,3:01:59 PM,3:02:33 PM,3:02:33 PM,3:02:33 PM,3:02:33 PM,3:02:33 PM,3:03:51 PM,3:03:59 PM,3:04:23 PM,3:04:30 PM,3:04:30 PM,3:05:17 PM,3:05:17 PM,3:05:17 PM,3:05:17 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:09 PM,3:09:09 PM,3:09:10 PM,3:09:10 PM,3:09:46 PM,3:09:46 PM,3:09:46 PM,3:10:20 PM,3:11:19 PM,3:12:21 PM,3:12:21 PM,3:12:46 PM,3:12:46 PM,3:12:50 PM,3:12:50 PM,3:12:50 PM,3:13:44 PM,3:14:55 PM,3:14:55 PM,3:14:55 PM,3:14:55 PM,3:14:55 PM,3:17:01 PM,3:19:02 PM,3:19:02 PM,3:19:02 PM,3:20:28 PM,3:20:28 PM,,,,,
Crossing Start Time,3:00:05 PM,3:01:11 PM,3:01:11 PM,3:01:11 PM,3:01:11 PM,3:01:11 PM,3:01:38 PM,3:01:38 PM,3:01:41 PM,3:01:41 PM,3:01:44 PM,3:01:44 PM,3:01:44 PM,3:02:02 PM,3:02:02 PM,3:02:33 PM,3:02:33 PM,3:02:33 PM,3:02:33 PM,3:02:33 PM,3:03:54 PM,3:03:59 PM,3:04:26 PM,3:04:30 PM,3:04:30 PM,3:05:22 PM,3:05:22 PM,3:05:22 PM,3:05:22 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:10 PM,3:09:09 PM,3:09:09 PM,3:09:10 PM,3:09:10 PM,3:09:47 PM,3:09:47 PM,3:09:47 PM,3:10:21 PM,3:11:19 PM,3:12:25 PM,3:12:25 PM,3:12:49 PM,3:12:49 PM,3:12:50 PM,3:12:50 PM,3:12:50 PM,3:13:45 PM,3:15:04 PM,3:15:04 PM,3:15:04 PM,3:15:04 PM,3:15:04 PM,3:17:01 PM,3:19:08 PM,3:19:08 PM,3:19:08 PM,3:20:32 PM,3:20:32 PM,,,,,
Refuge Island Start Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island End Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did User Finish Crossing During Pedestrian Phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing End Time,3:00:13 PM,3:01:21 PM,3:01:21 PM,3:01:21 PM,3:01:21 PM,3:01:21 PM,3:01:45 PM,3:01:45 PM,3:01:49 PM,3:01:49 PM,3:01:54 PM,3:01:54 PM,3:01:54 PM,3:02:10 PM,3:02:10 PM,3:02:46 PM,3:02:46 PM,3:02:46 PM,3:02:46 PM,3:02:46 PM,3:04:02 PM,3:04:03 PM,3:04:30 PM,3:04:39 PM,3:04:39 PM,3:05:31 PM,3:05:31 PM,3:05:31 PM,3:05:31 PM,3:09:22 PM,3:09:22 PM,3:09:19 PM,3:09:19 PM,3:09:23 PM,3:09:23 PM,3:09:19 PM,3:09:19 PM,3:09:56 PM,3:09:56 PM,3:09:56 PM,3:10:26 PM,3:11:24 PM,3:12:33 PM,3:12:33 PM,3:12:58 PM,3:12:58 PM,3:12:58 PM,3:12:58 PM,3:12:58 PM,3:13:52 PM,3:15:13 PM,3:15:13 PM,3:15:13 PM,3:15:13 PM,3:15:13 PM,3:17:06 PM,3:19:14 PM,3:19:17 PM,3:19:17 PM,3:20:43 PM,3:20:43 PM,,,,,
Crossing Interaction Notes,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Walk,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Courtesy Run,Walk,Walk,Walk,Walk,Walk,Walk,,,,,
Bus Presence,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,
Crossing Location Relative to Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female pedestrian went back into the crosswalk after completing the crossing then ran back,,,,,,,,,,,Crossed to meet his friends,Group of 3 contained the same kid from previous crossing,,,,,,,,,
Driver Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Reviewer Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
