Video Title,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00020,STANDARD_2025_11_13-1833_30.00017,STANDARD_2025_11_13-1833_30.00015,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00012
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Location Name,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St,Gorham ST & Manchester St
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
