Video Title,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00021,STANDARD_2025_11_13-1833_30.00012,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00013,STANDARD_2025_11_13-1833_30.00015,STANDARD_2025_11_13-1833_30.00020,,,,
Initials,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,SL,,,,
Location Name,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,Lowell - Gorham St & Manchester St,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,
Crossing Treatment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
User Count,1,2,2,2,2,2,3,3,4,4,5,5,5,6,6,7,8,8,9,9,10,10,11,12,13,14,14,15,15,15,15,16,16,17,17,18,18,18,19,20,21,21,22,22,23,23,23,24,25,26,26,27,27,27,28,29,29,29,30,30,31,32,33,34,35,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,
Group Size,1,5,5,5,5,5,2,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,4,4,4,4,2,2,2,2,3,3,3,1,1,2,2,2,2,3,3,3,1,1,2,2,3,3,3,1,3,3,3,2,2,1,1,1,1,1,,,,
Estimated Gender,Female,Male,Female,Female,Female,Hard to Tell,Male,Male,Male,Male,Female,Male,Male,Male,Male,Female,Female,Male,Female,Female,Male,Male,Male,Male,Male,Female,Female,Male,Female,Female,Male,Male,Female,Female,Female,Male,Male,Male,Female,Female,Female,Male,Male,Male,Female,Female,Female,Female,Female,Male,Female,Female,Female,Female,Male,Male,Male,Male,Male,Male,Male,Female,Hard to Tell,Male,Hard to Tell,,,,
Estimated Age Group,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,21-35,36-50,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,0-20,>50,0-20,Hard to Tell,0-20,Hard to Tell,,,,
Clothing Color,White,Black,Black,White,White,Brown,Black,Gray,Black,Black,White,Black,Black,Black,Black,Light blue,White,Black,White,Black,Black,Black and white,Black,Black,Black,Black,Black,Gray,Black,Black,Red,White,Black,Brown,Pink,Black,Black,Gray,Black,Gray,White,Grey,Red,Black,White,White,Black,Black,Black,Black,White,Black,White,Black,Black,Black,Red,Black,White,Grey,Green,Purple,Black,Green,Black,,,,
