Video Title,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00004,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,,,,,,,,,,,,,,,,,,,,,,,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,lynnway @ Commercial St,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,
