Video Title,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00003,STANDARD_2025_07_22-1014_55.00004,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00002,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00001,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,STANDARD_2025_07_22-1014_55.00000,
Initials,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,NE,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,
Location Name,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,Lynnway @ Commercial St,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,Signalized intersection,
Refuge Island,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Cyclist ,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
