Video Title,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initials,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Name,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
