Video Title,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00005,$STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,$STANDARD_2025_01_23-1040_46.00006,$STANDARD_2025_01_23-1040_46.00006,$STANDARD_2025_01_23-1040_46.00006,$STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,$STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00004,STANDARD_2025_01_23-1040_46.00004,STANDARD_2025_01_23-1040_46.00004,STANDARD_2025_01_23-1040_46.00004,STANDARD_2025_01_23-1040_46.00004,STANDARD_2025_01_23-1040_46.00004,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,STANDARD_2025_01_23-1040_46.00003,,
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,,
Location Name,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,
