Video Title,STANDARD_2025_01_23-1040_46.00005,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00000,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00006,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,STANDARD_2025_01_23-1040_46.00007,,,,,,,,,,
Initials,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,PK,,,,,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,HV,,,,,,,,,,
Location Name,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,Mill St & Locust St,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,
Crossing Treatment,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,signalized intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,,,,,,,,,
Refuge Island,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,129,130,131,132,135,134,136,137,138,139,140,141,142,143,144,,,,,,,,,,
User Type,"Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ",,"Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ","Pedestrian ",Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,,,,,,,,,,
