Video Title,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 ,STANDARD_2025_11_06-1610_44.00023 
Initials,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK,CK
Location Name,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,Morril-Science Center AMHERST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
