Video Title,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00005,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00006,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00007,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,STANDARD_2025_07_16-1038_59.00008,
Initials,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,
Location Name,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,Northampton Courthouse,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
User Type,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Bicyclist,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,
