Video Title,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00001,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2024_09_23-1044_06.00002,STANDARD_2025_01_23-1040_46.00003,
Initials,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,,
Location Name,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,,
Bus Stop IDs/Addresses,"1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341",1340 1341,"1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341","1340, 1341",,
Count of Bus Stop Routes,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2,2,2,2,2,2,2,2,2,2,2.00,2,2,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,,
Refuge Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,
Group Size,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,,
