Video Title,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005,STANDARD_2024_09_23-1044_06.00005
Initials,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH,NH
Location Name,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St,State St & Orleans St
Bus Stop IDs/Addresses,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341,1340 1341
Count of Bus Stop Routes,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection,Signalized Intersection
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,22,23,24,25,26,27,28,29,30,31,31,32,33,33,33,34,35,35,36,37,38,39,40,41,41,42,43,43,44,44,44
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
Group Size,1,1,1,1,1,1,1,1,1,2,2,1,3,3,3,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2
Estimated Gender,Hard to Tell,Male,Hard to Tell,Male,Male,Female,Hard to Tell,Female,Hard to Tell,Female,Female,Hard to Tell,Hard to Tell,Hard to Tell,Hard to Tell,Male,Male,Male,Male,Male,Hard to Tell,Male,Hard to Tell,Male,Male,Hard to Tell,Male,Male,Hard to Tell,Hard to Tell,Hard to Tell
Estimated Age Group,Hard to Tell,21-35,Hard to Tell,36-50,21-35,21-35,Hard to Tell,36-50,Hard to Tell,0-20,36-50,Hard to Tell,21-35,21-35,21-35,21-35,0-20,0-20,0-20,Hard to Tell,Hard to Tell,0-20,>50,0-20,0-20,Hard to Tell,21-35,0-20,Hard to Tell,Hard to Tell,Hard to Tell
Clothing Color,blue,white,black,black,black,white,white/black,black,black,green/black,white,grey,white,white,black,black,black,black,grey,black,black,black,black,white,black,black/white,white,black,black,black,black
Visibility Scale,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2
Estimated Visible Distrction,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No
User Notes,,Holding a big shopping bag which could make him more visible,Waited at the bus stop for a long time before the bus came,,,Was pusing what looked like a stroller,,,,,,,,,,,"Two younger kids, both holding skate boards",,,,,,Riding a mobility scooter,,,,Group consisted of man and presumably his small son around age 5 or 6,,,,
Bus Interaction,Yes,Yes,Yes,Yes,Yes,No,No,,No,No,No,Yes,Yes,Yes,Yes,No,No ,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Roadway Crossing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Type of Bus Interaction,Alighted,Alighted,Boarded,Alighted,Alighted,,,,,,,Alighted,Boarded,Boarded,Boarded,,,,Alighted,,Boarded,,,,,,,,,,
Bus Stop Arrival Time,3:01:46 PM,3:01:46 PM,3:14:44 PM,3:14:44 PM,3:15:43 PM,,,,,,,3:26:09 PM,3:26:09 PM,3:26:09 PM,3:26:09 PM,,,,3:34:16 PM,,3:43:33 PM,,,,,,,,,,
Bus Stop Departure Time,3:01:57 PM,3:01:57 PM,3:15:33 PM,3:15:33 PM,3:15:49 PM,,,,,,,3:26:37 PM,3:26:37 PM,3:26:37 PM,3:26:37 PM,,,,3:34:27 PM,,3:43:54 PM,,,,,,,,,,
Noteworthy Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Crossing,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Pedestrian Phase Crossing,,N/A,,,,Yes,Yes,,Yes,Yes,Yes,,,,,No,No,No,,Yes,,,Yes,Yes,Yes,No,No,No,No,No,No
Intend to Cross Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Start Time,,3:02:04 PM,,3:15:00 PM,3:15:53 PM,3:18:53 PM,3:19:09 PM,,3:24:30 PM,3:24:38 PM,3:24:38 PM,3:26:09 PM,,,,3:29:21 PM,3:30:18 PM,3:30:18 PM,,3:43:01 PM,,3:46:18 PM,3:51:35 PM,3:52:27 PM,3:52:27 PM,3:56:28 PM,3:57:31 PM,3:57:31 PM,3:57:53 PM,3:57:53 PM,3:57:57 PM
Refuge Island Start Time,,3:02:08 PM,,3:15:04 PM,3:15:56 PM,3:19:13 PM,3:19:17 PM,,3:24:37 PM,3:24:45 PM,3:24:45 PM,3:26:33 PM,,,,3:29:34 PM,3:30:26 PM,3:30:26 PM,,3:43:11 PM,,3:46:27 PM,3:51:44 PM,3:52:37 PM,3:52:37 PM,3:56:40 PM,3:57:37 PM,3:57:37 PM,3:57:57 PM,3:57:57 PM,3:57:59 PM
Refuge Island End Time,,3:02:10 PM,,N/A,3:15:58 PM,3:19:16 PM,3:19:20 PM,3:23:25 PM,3:24:49 PM,3:26:30 PM,3:26:30 PM,3:26:40 PM,,,,3:30:07 PM,3:30:34 PM,3:30:34 PM,,3:43:50 PM,,3:46:30 PM,3:51:46 PM,3:52:40 PM,3:52:40 PM,3:56:44 PM,3:57:43 PM,3:57:43 PM,3:57:59 PM,3:57:59 PM,No
Did User Finish Crossing During Pedestrian Phase,,N/A,,,,Yes,Yes,,Yes,Yes,Yes,,,,,,No,No,,Yes,,N/A,No,Yes,Yes,No,,,No,No,3:58:02 PM
