Video Title,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00006
Initials,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG,GG
Location Name,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossing Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refuge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Other,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
