Video Title,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,STANDARD_2025_07_17-1440_09.00000,,,,,,,,
Initials,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,KS,,,,,,,,
Location Name,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,Shewsbury St & Leo Tuoro Way,,,,,,,,
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,,,,,,,,
Crossing Treatment,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,,,,,,,,
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,
User Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Other,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,,,,,,,,
Group Size,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
Estimated Gender,Female,Female,Male,Female,Male,Male,Male,Hard to Tell,Male,Male,Male,Female,Female,Male,Male,Female,Male,Male,Female,Female,Male,Male,Male,Male,Male,Male,Female,Male,Male,Female,Male,Female,Male,Male,,,,,,,,
Estimated Age Group,Hard to Tell,Hard to Tell,Hard to Tell,21-35,21-35,21-35,Hard to Tell,Hard to Tell,21-35,36-50,21-35,21-35,Hard to Tell,Hard to Tell,21-35,,21-35,21-35,21-35,21-35,21-35,21-35,0-20,21-35,21-35,Hard to Tell,21-35,21-35,21-35,21-35,21-35,21-35,21-35,>50,,,,,,,,
Clothing Color,White,Grey,Black,Black,Grey,Black,Black,White,Black,Grey,Black,Black,Black,Black,Grey,White,White,Blue/white,White,Black,Black,Black,Black,Black,Orange,Black,Black,Blue,Blue,White,Black,White/Black,Black,Grey,,,,,,,,
