Video Title,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00001,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00003,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00002,STANDARD_2025_07_17-1440_09.00004,STANDARD_2025_07_17-1440_09.00004,STANDARD_2025_07_17-1440_09.00006,STANDARD_2025_07_17-1440_09.00006,STANDARD_2025_07_17-1440_09.00006
Initials,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Location Name,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way,Shewsbury St + Leo Tuoro Way
Bus Stop IDs/Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of Bus Stop Routes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Location Relative to Bus Stop,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
Crossing Treatment,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB,RRFB
Refuge Island,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
User Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Type,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Other,Other,Pedestrian,Other,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian,Pedestrian
